640,681

Time	B2	B3	B4	B5	C2	C3	C4	C5
28441	1101	1366	198	3921	1235	8457	10784	16182
28501	1109	1383	175	3892	1305	8381	10985	16140
28561	1113	1407	187	3862	1325	8485	10916	16182
28621	1147	1358	194	3827	1309	8443	10973	16116
28681	1160	1403	197	3792	1278	8492	10871	16219
28741	1135	1392	194	3756	1318	8472	10766	16180
28801	1141	1377	193	3880	1306	8537	10851	16156
28861	1169	1366	191	3827	1326	8376	10887	16220
28921	1137	1379	192	3812	1332	8387	10834	16227
28981	1145	1391	188	3809	1294	8452	10957	16121
29041	1125	1379	193	3771	1323	8443	10780	16233
29101	1146	1380	186	3780	1320	8364	10819	16316
29161	1150	1374	194	3835	1350	8332	10888	16163
29221	1178	1372	193	3786	1312	8331	10842	16273
29281	1120	1406	184	3781	1266	8405	10899	16187
29341	1124	1382	188	3778	1353	8424	10815	16336
29401	1164	1392	190	3774	1291	8414	10858	16401
29461	1161	1445	193	3805	1322	8447	10848	16289
29521	1154	1400	182	3744	1329	8414	10808	16269
29581	1168	1403	202	3686	1319	8437	10772	16243
29641	1140	1400	187	3718	1293	8474	10890	16157
29701	1156	1370	183	3675	1311	8475	10860	16312
29761	1192	1426	199	3718	1310	8531	10769	16046
29821	1187	1418	197	3685	1337	8467	10740	16178
29881	1149	1388	194	3621	1309	8417	10845	16282
29941	1147	1417	190	3655	1301	8362	10859	16316
30001	1167	1392	187	3607	1324	8429	10752	16206
30061	1154	1440	186	3679	1305	8448	10787	16208
30121	1130	1435	195	3580	1336	8465	10778	16146
30181	1130	1426	200	3597	1280	8390	10808	16221
30241	1184	1418	194	3618	1333	8433	10763	16034
30301	1151	1435	209	3648	1313	8554	10792	16116
30361	1182	1444	197	3541	1321	8379	10805	16069
30421	1176	1395	188	3602	1339	8457	10803	16044
30481	1138	1415	182	3590	1336	8412	10770	16189
30541	1193	1421	199	3577	1305	8498	10745	16210
30601	1199	1422	198	3606	1351	8431	10726	16232
30661	1178	1463	190	3501	1293	8419	10567	16267
30721	1152	1410	190	3496	1322	8479	10702	16355
30781	1133	1436	195	3476	1320	8444	10833	16333
30841	1197	1423	199	3483	1311	8438	10778	16189
30901	1174	1484	197	3582	1349	8459	10758	16140
30961	1217	1434	192	3516	1371	8430	10713	16159
31021	1205	1458	182	3518	1338	8532	10882	16197
31081	1202	1453	199	3505	1318	8382	10760	16262
31141	1192	1445	196	3457	1365	8436	10811	16197
31201	1145	1452	192	3541	1309	8496	10732	15977
31261	1225	1479	183	3469	1314	8442	10791	16101
31321	1185	1426	178	3423	1354	8539	10725	16161
31381	1214	1474	181	3413	1335	8390	10756	16200
31441	1213	1437	198	3368	1307	8530	10701	16163
31501	1218	1458	196	3395	1373	8464	10691	16132
31561	1195	1435	186	3472	1341	8395	10693	16191
31621	1230	1475	184	3435	1362	8527	10670	16206
31681	1234	1519	197	3374	1331	8435	10755	16381
31741	1201	1462	186	3348	1366	8450	10744	16294
31801	1193	1483	192	3362	1356	8379	10691	16154
31861	1235	1450	188	3399	1334	8423	10732	16087
31921	1231	1455	188	3408	1364	8505	10709	16231
31981	1216	1471	189	3373	1339	8533	10684	16074
32041	1204	1523	182	3361	1334	8467	10769	16178
32101	1187	1488	188	3338	1365	8501	10734	16179
32161	1217	1468	194	3328	1344	8456	10748	16178
32221	1240	1458	192	3320	1357	8399	10613	16174
32281	1221	1511	182	3342	1334	8590	10670	16251
32341	1220	1479	195	3266	1335	8511	10642	16259
32401	1226	1463	188	3317	1326	8520	10734	16266
32461	1232	1483	176	3304	1361	8415	10674	16126
32521	1255	1506	185	3224	1370	8387	10638	16046
32581	1254	1463	193	3224	1347	8415	10745	16160
32641	1212	1544	186	3230	1333	8495	10712	16189
32701	1230	1493	197	3232	1339	8503	10624	16152
32761	1228	1477	180	3253	1340	8492	10746	16116
32821	1234	1490	179	3206	1344	8457	10561	16118
32881	1236	1530	195	3206	1364	8496	10791	16082
32941	1252	1484	191	3254	1358	8510	10663	16060
33001	1246	1509	173	3195	1334	8377	10765	16166
33027	1264	1490	198	3214	1373	8531	10597	16185
33087	1204	1554	192	3214	1349	8507	10681	16201
33147	1236	1560	175	3237	1336	8553	10718	16206
33207	1277	1522	199	3120	1364	8489	10712	16184
33267	1235	1511	189	3222	1365	8346	10601	16121
33327	1263	1533	174	3146	1377	8531	10692	16101
33387	1292	1509	196	3224	1345	8504	10671	16095
33447	1264	1486	182	3118	1365	8515	10624	16160
33507	1251	1524	181	3111	1403	8535	10624	16300
33567	1241	1538	182	3139	1362	8612	10608	16072
33627	1277	1506	193	3092	1337	8502	10718	16073
33687	1280	1528	199	3079	1393	8504	10725	16042
33747	1258	1519	183	3113	1376	8330	10603	16126
33807	1274	1508	186	3068	1348	8402	10569	16137
33867	1256	1517	180	3071	1399	8567	12829	15998
33927	1274	1549	195	3040	1338	8430	12608	16108
33987	1248	1529	196	3008	1353	8532	12681	16171
