640,681

Time	B2	B3	B4	B5	C2	C3	C4	C5	D2	D3	D4	D5	E2	E3	E4	E5	F2	F3	F4	F5
7875	692	2506	1001	6	7832	11560	4863	16299	1070	3983	1191	11279	968	2802	1113	3106	6	6	1097	3549
7935	678	2567	1060	7	8111	11858	5103	17036	1060	4221	1259	11669	970	2932	1127	3298	6	9	1134	3616
7995	674	2673	1052	5	8212	12273	5270	17483	1068	4386	1209	12025	980	2995	1159	3294	9	4	1168	3637
8055	689	2630	1073	6	8536	12625	5410	17985	1078	4648	1231	12534	995	3135	1213	3317	10	4	1113	3727
8115	692	2634	1082	10	8693	13124	5555	18316	1080	4880	1267	13003	1031	3305	1168	3421	4	6	1138	3783
8175	713	2594	1127	4	8898	13283	5601	18802	1100	5046	1283	13387	1021	3403	1196	3519	10	8	1135	3896
8235	686	2611	1074	2	9076	13879	5808	19266	1114	5250	1269	13807	1024	3497	1237	3601	3	6	1138	3966
8295	704	2679	1072	4	9254	14182	6004	19967	1154	5586	1283	14263	1048	3657	1221	3748	10	6	1182	4133
8355	689	2617	1094	7	9549	14417	6097	20425	1172	5784	1323	14633	1040	3780	1221	3783	4	5	1174	4070
8415	701	2713	1096	6	9606	14778	6337	20757	1118	6012	1298	15081	1070	3892	1261	3834	2	5	1178	4171
8475	724	2691	1108	5	9719	15005	6526	21195	1172	6303	1309	15461	1111	3992	1289	3893	6	6	1185	4173
8535	750	2649	1166	8	10040	15513	6675	21662	1123	6583	1265	15855	1096	4126	1252	4005	3	10	1212	4240
8595	741	2633	1127	8	10214	15668	6751	22135	1186	6833	1307	16288	1132	4201	1275	4083	7	8	1187	4333
8655	737	2683	1174	9	10289	15982	7019	22598	1202	7055	1282	16559	1140	4361	1264	4121	10	7	1230	4440
8715	740	2719	1157	7	10446	16481	7014	23053	1171	7504	1326	17134	1138	4516	1293	4232	5	4	1218	4405
8775	728	2726	1179	5	10513	16795	7317	23468	1218	7672	1306	17607	1205	4653	1338	4372	5	5	1210	4548
8835	736	2746	1196	6	10701	17058	7486	23873	1223	7981	1359	17814	1188	4862	1338	4292	4	6	1220	4589
8895	751	2686	1193	6	10848	17466	7663	24318	1240	8346	1297	18401	1205	4928	1313	4517	5	6	1237	4569
8955	769	2729	1222	7	11041	17542	7749	24634	1227	8671	1349	18593	1175	5040	1336	4486	5	5	1240	4749
9015	723	2670	1263	7	11135	17772	7879	25129	1256	8877	1328	19091	1190	5253	1349	4592	7	3	1214	4803
9075	752	2721	1243	7	11274	18209	7958	25394	1269	9245	1356	19518	1214	5464	1377	4627	6	4	1263	4827
9135	740	2799	1213	5	11532	18342	8200	25948	1253	9643	1366	19807	1217	5537	1372	4740	8	5	1249	4914
9195	768	2791	1236	4	11614	18929	8406	26049	1295	9807	1376	20159	1222	5691	1359	4940	4	6	1270	4910
9255	761	2740	1275	9	11844	18917	8491	26732	1279	10170	1394	20654	1252	5858	1407	4814	6	8	1271	4946
9315	759	2797	1277	6	11957	19374	8741	26867	1265	10634	1379	21076	1272	5926	1387	5032	4	8	1282	4884
9375	757	2815	1305	5	11979	19697	8799	27235	1301	10961	1420	21429	1289	6173	1409	5137	2	3	1300	5047
9435	766	2765	1298	5	12134	19887	8930	27679	1292	11408	1370	21609	1350	6238	1426	5069	4	7	1299	5142
9495	749	2828	1292	7	12256	20212	9155	28003	1309	11637	1417	22020	1320	6401	1438	5228	8	5	1341	5219
9555	739	2857	1331	6	12389	20293	9237	28404	1358	12079	1426	22551	1316	6674	1466	5302	7	2	1334	5237
9615	780	2878	1326	5	12508	20584	9396	28397	1372	12400	1409	22852	1363	6815	1469	5368	5	3	1324	5242
9675	787	2802	1329	6	12466	20918	9681	28909	1340	12989	1397	23088	1367	7050	1460	5416	8	8	1349	5340
9735	797	2867	1330	7	12776	21246	9611	29238	1366	13251	1490	23459	1387	7134	1491	5411	4	4	1321	5338
9795	765	2836	1346	6	12879	21502	9725	29644	1358	13576	1480	23828	1354	7248	1477	5581	6	4	1382	5425
9855	808	2813	1378	7	12912	21768	10131	29832	1349	13959	1474	24133	1375	7406	1540	5679	5	8	1391	5453
9915	781	2903	1352	8	12969	21977	10137	30437	1412	14362	1454	24555	1416	7624	1533	5701	7	5	1352	5581
9975	779	2848	1361	11	13167	22006	10153	30516	1398	14857	1456	24796	1408	7878	1561	5697	6	5	1368	5553
10035	792	2901	1362	9	13210	22284	10406	30889	1392	15290	1468	25086	1461	7999	1527	5806	5	9	1380	5637
10095	780	2879	1414	7	13448	22661	10457	31278	1420	15505	1466	25615	1445	8172	1563	5897	9	2	1415	5614
10155	808	2911	1421	6	13474	23005	10701	31370	1422	16038	1478	25749	1501	8344	1534	6031	6	7	1367	5673
10215	802	2885	1406	3	13556	23295	10929	31651	1455	16620	1527	26113	1475	8463	1586	6120	7	4	1401	5818
10275	804	2952	1440	5	13657	23367	11021	32085	1458	16871	1470	26499	1472	8712	1577	6013	3	6	1397	5742
10335	768	2927	1436	8	13735	23406	11133	32188	1428	17300	1525	26620	1491	8908	1567	6207	5	4	1413	5789
10395	829	2941	1417	9	13724	23535	11169	32207	1470	17713	1537	27179	1498	9163	1619	6305	5	3	1419	5866
10455	800	2865	1417	5	13699	23889	11473	32742	1482	18130	1551	27271	1515	9371	1619	6353	6	6	1434	5820
10515	823	2970	1454	7	14006	23953	11591	33159	1481	18574	1537	27681	1519	9461	1608	6328	7	6	1435	5936
10575	792	2992	1482	7	14099	24418	11739	33365	1511	19079	1527	27843	1537	9642	1644	6450	6	5	1423	5984
10635	825	2976	1464	9	14078	24647	11861	33606	1534	19485	1531	28180	1610	9974	1627	6470	3	5	1434	6065
10695	801	2927	1474	5	14151	24671	11941	33771	1523	19887	1509	28634	1574	10107	1663	6637	6	5	1455	6077
10755	824	2958	1507	4	14309	25064	12050	34104	1545	20521	1556	28778	1550	10303	1688	6618	7	5	1489	6080
10815	798	2911	1540	6	14381	25035	12230	34157	1515	20954	1580	29478	1640	10432	1654	6780	7	9	1434	6166
10875	829	3002	1520	9	14353	25448	12350	34523	1513	21388	1581	29413	1618	10636	1731	6877	6	3	1478	6187
10935	796	2998	1539	7	14505	25400	12492	34725	1546	21860	1553	29580	1618	10842	1717	6880	6	4	1462	6188
10995	822	3027	1563	3	14501	25704	12429	34918	1564	22292	1647	30103	1632	11156	1658	6977	4	8	1482	6329
11055	837	2974	1513	3	14741	25933	12719	35336	1579	23165	1624	30283	1647	11381	1758	7016	5	9	1470	6281
11115	803	2947	1540	6	14601	25974	12814	35267	1519	23306	1632	30560	1670	11541	1754	7004	6	10	1509	6409
11175	831	2996	1573	4	14878	26283	13123	35662	1585	23893	1603	30575	1636	11806	1756	7130	2	11	1495	6426
11235	840	3014	1542	7	14799	26364	13097	35420	1608	24391	1631	31234	1719	11954	1712	7166	5	6	1534	6402
11295	854	3019	1595	7	14895	26566	13322	35877	1605	24739	1637	31368	1736	12151	1744	7307	3	7	1497	6489
11355	839	3017	1598	7	14967	26731	13347	36199	1603	25224	1620	31456	1709	12260	1805	7310	6	6	1505	6533
11415	832	3023	1582	6	15126	26770	13378	36360	1644	25800	1646	31737	1726	12685	1797	7330	8	1	1516	6543
11475	854	3013	1635	5	15001	26911	13599	36492	1598	26421	1615	31878	1776	12762	1822	7361	6	6	1567	6594
11535	829	3092	1661	6	15140	27133	13733	36467	1609	26724	1672	32173	1738	12981	1813	7655	8	3	1576	6604
11595	851	3011	1621	6	15264	27146	13768	36764	1655	27218	1657	32528	1777	13294	1828	7583	7	6	1597	6651
11655	840	2995	1637	8	15242	27537	13828	37059	1641	27789	1638	32462	1783	13431	1811	7543	8	5	1528	6697
11715	821	3046	1687	3	15087	27505	13965	37175	1660	28209	1651	32944	1836	13672	1874	7584	5	7	1562	6736
11775	849	3071	1634	5	15305	27828	14244	37352	1681	28912	1697	32965	1819	13964	1848	7773	7	6	1578	6684
11835	872	3054	1658	8	15369	27675	14245	37279	1674	29237	1709	33223	1792	14215	1877	7781	6	3	1595	6683
11895	851	3068	1693	6	15651	28018	14320	37474	1683	29680	1684	33794	1850	14521	1871	7771	7	4	1569	6850
