Time	H2	H3	H4	H5	I2	I3	I4	I5	J2	J3	J4	J5	K2	K3	K4	K5	L2	L3	L4	L5	M2	M3	M4	M5
9839	39272	25446	41923	22095	4196	2711	7808	1936	1673	1653	1756	707	36455	13749	38161	12968	4768	3022	4252	3655	1951	1254	2003	10
9899	39045	26024	41759	22442	4226	2696	7865	1911	1740	1632	1809	729	36686	14054	38150	13154	4731	3011	4258	3701	2014	1286	2043	8
9959	38980	26337	41593	23078	4288	2750	8192	1970	1775	1626	1808	717	36804	14184	38258	13462	4842	3119	4372	3759	1982	1278	2059	8
10019	39203	26632	41958	23189	4319	2788	8248	1981	1761	1681	1846	764	36772	14495	38374	13780	4838	3110	4389	3834	2012	1280	2083	9
10079	38836	26696	41751	23996	4402	2791	8385	2020	1787	1657	1869	715	36896	14605	38346	14179	4912	3191	4484	3805	2044	1323	2087	15
10139	39049	27122	41832	24270	4385	2844	8632	2042	1791	1686	1847	731	37085	14814	38314	14261	5041	3186	4505	3947	2045	1333	2131	10
10199	39022	27608	41861	24611	4541	2847	8825	2111	1835	1673	1882	728	37344	15022	38172	14450	4968	3262	4613	4001	2082	1348	2091	9
10259	39203	28064	41897	25367	4562	2932	8866	2087	1819	1718	1929	732	37488	15154	38421	14757	5150	3283	4787	4028	2147	1339	2165	7
10319	38975	28219	41957	25576	4569	2954	9038	2114	1851	1744	1935	748	37643	15521	38215	14986	5226	3348	4733	4071	2172	1344	2207	6
10379	39315	28570	42152	25887	4570	2973	9258	2115	1895	1728	1961	733	37559	15616	38029	15256	5287	3378	4835	4122	2173	1415	2218	12
10439	39156	28855	41848	26339	4776	2981	9522	2153	1909	1735	1998	773	37940	15789	38271	15474	5309	3427	4921	4305	2137	1371	2242	9
10499	39073	28967	41717	26814	4726	3050	9656	2228	1909	1759	1997	737	37880	15996	38386	15767	5412	3392	4966	4339	2211	1413	2260	5
10559	39034	29233	41664	27121	4748	3000	9757	2201	1876	1844	2028	744	37854	16171	38056	15905	5541	3535	5130	4343	2231	1439	2275	11
10619	38869	29431	41714	27570	4871	3114	9859	2223	1944	1818	2038	773	37744	16455	38207	16286	5544	3521	5094	4413	2192	1393	2341	7
10679	39010	30032	41877	28190	4935	3077	10049	2324	1943	1774	2072	757	37982	16589	38178	16438	5546	3615	5162	4387	2285	1485	2361	10
10739	39047	30110	41653	28630	4980	3195	10298	2301	1989	1841	2112	779	37852	16847	38129	16781	5594	3628	5222	4495	2255	1439	2312	8
10799	39320	30589	41911	28873	4941	3247	10331	2293	1975	1847	2135	752	38039	17022	38398	17036	5710	3660	5342	4507	2286	1454	2295	8
10859	39100	30868	41721	29209	4997	3155	10533	2345	2009	1937	2120	798	38081	17134	38028	17118	5912	3677	5391	4659	2289	1509	2386	8
10919	38983	31012	41599	29695	5098	3283	10764	2333	2023	1913	2132	785	37887	17346	38231	17496	5891	3757	5369	4584	2366	1536	2396	8
10979	39298	31224	41991	30247	5164	3293	10751	2355	2043	1882	2202	777	38019	17579	38345	17668	5971	3816	5509	4694	2338	1514	2428	10
11039	39046	31410	41944	30579	5201	3320	11017	2446	2027	1899	2202	803	38192	17789	38263	17951	6019	3834	5552	4743	2362	1563	2482	6
11099	39176	31962	41786	30814	5232	3285	11182	2368	2071	1892	2251	823	38003	17924	38352	18188	6135	3849	5656	4798	2408	1540	2514	10
11159	39127	32047	41666	31339	5256	3298	11274	2486	2099	1920	2236	824	38123	18112	38082	18491	6121	3873	5673	4827	2461	1601	2514	12
11219	39298	32198	41940	31729	5374	3332	11558	2469	2107	1943	2243	816	38067	18311	38446	18694	6237	3946	5903	4899	2456	1611	2526	10
11279	39296	32441	41981	32100	5386	3373	11544	2527	2145	1879	2343	827	38252	18622	38353	18856	6194	4001	5752	5085	2420	1570	2535	12
11339	39308	32740	42013	32589	5375	3441	11964	2510	2114	1952	2389	775	38295	18831	38158	19249	6358	4054	5949	5044	2487	1594	2550	9
11399	39226	32751	42000	32842	5407	3476	11946	2541	2119	1978	2318	799	38196	18826	38606	19406	6316	4049	5990	5133	2496	1657	2566	9
11459	39266	33182	41807	33245	5553	3446	12228	2554	2120	1934	2388	830	38112	19035	38266	19655	6512	4152	5976	5155	2475	1638	2652	10
11519	39170	33270	41814	33737	5556	3534	12230	2590	2165	1985	2376	810	38355	19187	38175	19830	6568	4156	6180	5202	2518	1647	2651	8
11579	38823	33392	41853	33787	5547	3621	12422	2579	2183	1975	2435	856	38188	19376	38299	19955	6567	4109	6200	5249	2576	1652	2616	10
11639	38995	33524	41943	34583	5583	3562	12605	2653	2179	2005	2416	856	38196	19570	38383	20224	6626	4258	6264	5397	2565	1691	2709	9
11699	39208	33922	42021	34755	5586	3576	12733	2650	2212	2066	2485	832	38038	19793	38243	20614	6632	4251	6335	5461	2579	1673	2686	9
11759	39102	34010	41523	35245	5657	3592	13028	2606	2209	1998	2432	847	38067	19783	38400	20926	6802	4324	6333	5382	2597	1718	2731	9
11819	38911	34178	41851	35665	5759	3674	13161	2754	2303	2061	2478	841	38180	19997	38383	20993	6856	4227	6444	5436	2683	1705	2718	11
11879	39417	34275	42192	35746	5776	3652	13220	2686	2247	2072	2505	833	38078	20375	38320	21194	6836	4324	6656	5542	2682	1758	2775	13
11939	39188	34390	41978	36344	5755	3649	13485	2786	2258	2064	2500	854	38219	20533	38333	21594	6913	4401	6588	5560	2661	1721	2769	9
11999	39265	34664	42167	36384	5939	3745	13694	2783	2269	2056	2493	860	38132	20634	38405	21631	6990	4465	6698	5635	2715	1722	2768	10
12059	39120	35171	41921	36872	5883	3699	13812	2770	2308	2116	2571	870	38150	20720	38221	22000	7046	4495	6678	5802	2780	1819	2832	11
12119	39110	35442	41810	37328	6010	3717	13872	2828	2393	2113	2541	881	38375	20854	38239	22069	7204	4575	6838	5767	2815	1775	2842	15
12179	39141	35310	41751	37450	5996	3762	14131	2878	2285	2141	2578	855	38123	21068	38029	22481	7116	4488	6921	5700	2770	1792	2856	10
12239	39040	35416	41784	38084	6073	3774	14156	2900	2286	2176	2706	897	38350	21065	38387	22897	7262	4617	6986	5905	2802	1792	2927	8
12299	39194	35716	41975	38271	6055	3759	14527	2886	2353	2168	2674	840	38193	21425	38289	22943	7349	4645	7053	5885	2791	1848	2858	7
12359	39167	36028	41641	38260	6063	3856	14476	2918	2308	2163	2710	867	38101	21471	38153	23215	7467	4642	7131	5969	2856	1896	2976	4
12419	38985	36127	41747	38932	6189	3835	14752	2973	2409	2218	2726	861	38257	21812	38337	23457	7481	4725	7199	6036	2853	1816	2958	9
12479	38980	35981	41740	39035	6190	3914	14897	2990	2379	2181	2788	910	38484	21731	38127	23520	7578	4680	7184	6088	2840	1902	2956	9
12539	39014	36062	41683	39613	6169	3967	15155	2996	2388	2181	2752	913	38298	21992	38168	23820	7518	4736	7327	6155	2929	1919	2963	10
12599	39228	36312	41698	39621	6298	3946	15235	3030	2424	2218	2800	902	38349	22257	38215	24070	7574	4754	7348	6206	2904	1829	2972	6
12659	39236	36494	41817	40041	6344	4044	15429	3057	2432	2240	2829	890	38130	22210	38478	24348	7673	4788	7521	6266	2944	1903	3032	8
12719	39358	36827	42037	40696	6377	3984	15665	3034	2458	2275	2870	933	37995	22408	38407	24596	7719	4879	7518	6328	3003	1943	3049	7
12779	39105	36865	41787	40845	6345	4000	15878	3087	2502	2303	2833	912	38277	22705	38282	25004	7852	4963	7592	6388	2977	1925	3075	7
12839	39400	36772	42170	40915	6466	4069	16125	3113	2481	2252	2828	904	38126	22561	38087	25123	7841	4934	7636	6321	2964	1910	3082	6
12899	39232	36937	41549	40852	6458	4091	16200	3062	2488	2267	2878	876	38084	22821	38140	25265	7900	5005	7653	6539	2995	1992	3127	8
12959	38964	37034	42064	41353	6456	4137	16280	3163	2484	2317	2939	926	38124	22977	38305	25432	7985	4973	7854	6464	3046	1972	3110	9
13019	38831	37150	42109	41528	6554	4071	16495	3235	2530	2320	2930	926	38275	23100	38267	25768	8089	5038	7808	6598	3019	1935	3122	9
13079	38933	37228	41808	41907	6617	4065	16670	3229	2551	2281	2946	955	38288	22969	38234	25908	8100	5117	8014	6563	3031	1926	3149	11
13139	39117	37630	41693	42050	6679	4151	16697	3201	2539	2301	3004	915	38223	23345	38228	26265	8212	5135	8028	6679	3144	2023	3196	8
13199	38878	37569	41822	42133	6666	4168	17004	3264	2545	2314	3018	924	38369	23590	38167	26378	8261	5184	8104	6671	3110	2036	3198	9
13259	39165	37835	41673	42619	6689	4268	17250	3283	2514	2369	3018	903	38074	23724	38512	26610	8287	5100	8117	6713	3163	2044	3219	10
13319	39124	37969	42139	42370	6671	4254	17327	3355	2577	2340	2990	889	38402	23778	38333	26746	8460	5189	8093	6805	3151	2098	3275	7
13379	39353	37922	41734	42685	6717	4263	17601	3348	2630	2352	3075	929	38177	23971	38412	27120	8271	5244	8126	6864	3173	2086	3163	7
13439	39142	38032	41798	43236	6791	4211	17624	3350	2633	2348	3065	955	38308	23893	38569	27322	8475	5261	8337	6931	3181	2055	3270	7
13499	38873	38330	41860	43373	6801	4303	17827	3418	2594	2371	3093	938	38190	24076	38086	27682	8474	5372	8331	6891	3235	2095	3309	9
13559	39360	38141	41705	43402	6913	4329	17980	3427	2559	2419	3133	905	38176	24354	38341	27714	8499	5323	8348	7024	3199	2081	3258	7
13619	39160	38322	41615	43751	6885	4379	18196	3438	2654	2439	3207	967	38357	24592	38463	28118	8539	5425	8519	6993	3302	2132	3405	9
