	J10	J11	J12	J13	K10	K11	K12	K13	L10	L11	L12	L13	M10	M11	M12	M13	N10	N11	N12	N13	O10	O11	O12	O13
8224	38176	42706	42246	44768	15547	7655	11766	4605	4715	3128	3192	2880	38162	28454	39240	21300	15782	6910	8105	5657	3817	1675	3746	1756
8284	38051	42574	42244	44702	15920	7790	12091	4697	4849	3220	3204	2940	38034	28884	39210	21700	16419	7075	8361	5724	3931	1702	3762	1863
8344	37868	42336	42190	44621	16315	8008	12232	4752	4980	3262	3259	3012	38271	29830	39473	22343	16832	7228	8563	5882	3998	1810	3862	1806
8404	38061	42707	42390	44728	16823	8273	12604	4938	5077	3331	3349	2961	38086	30491	39424	22736	17280	7464	8741	5989	3992	1779	3946	1870
8464	38183	42759	42282	44752	17245	8430	12996	4994	5238	3325	3348	3047	38044	31023	39479	23318	17424	7535	8935	6142	4131	1818	4005	1889
8524	38170	42746	42191	44684	17566	8769	13214	5070	5300	3388	3407	3187	38139	31706	39555	23769	17902	7767	9128	6230	4197	1821	4081	1900
8584	37874	42719	42207	44842	18128	8930	13605	5187	5508	3539	3481	3194	38168	32166	39686	24317	18373	7886	9369	6332	4293	1886	4219	1990
8644	37980	42727	42109	44741	18531	9090	13813	5241	5604	3636	3530	3291	38088	32741	39690	24782	18826	8226	9463	6439	4345	1897	4194	1975
8704	37749	42676	42241	44874	18955	9246	14081	5372	5704	3642	3712	3289	38140	33253	39832	25390	19217	8300	9666	6596	4452	1904	4320	1977
8764	37962	43093	42250	44931	19249	9481	14305	5543	5831	3772	3731	3331	37939	33911	39880	25913	19844	8437	9952	6711	4589	1955	4375	2061
8824	38116	42878	42276	44340	19757	9889	14729	5617	5911	3814	3821	3412	38091	34171	39651	26326	20077	8605	10089	6820	4547	1978	4500	2079
8884	38014	42954	42190	45193	20284	9951	15004	5735	6027	3987	3864	3443	38157	34611	39970	26923	20739	8708	10360	6955	4782	2009	4551	2061
8944	37817	42817	41925	44958	20674	10249	15180	5822	6191	3960	3919	3554	37973	35439	39584	27218	21135	9049	10547	7098	4807	2037	4599	2104
9004	38173	42692	42002	44817	21194	10438	15457	5856	6359	4073	3946	3585	37976	35448	39879	27698	21372	9194	10801	7189	4926	2046	4669	2129
9064	37969	42772	41861	44759	21430	10684	15885	6066	6541	4131	4095	3578	38345	36133	40022	28233	21690	9370	10903	7363	4983	2047	4793	2121
9124	38192	43055	42487	44865	22060	10927	16075	6181	6667	4169	4144	3733	38082	36116	39804	28441	22325	9501	11088	7523	5051	2103	4793	2178
9184	38071	42821	42167	44801	22638	11028	16485	6252	6748	4306	4213	3784	38129	36688	40057	29054	22682	9638	11327	7654	5094	2160	4919	2174
9244	38139	42737	42391	44909	23001	11306	16897	6434	6796	4333	4270	3795	37982	36785	39728	29608	23180	9899	11661	7843	5232	2167	4969	2183
9304	38082	42977	42367	44914	23434	11651	17002	6405	6999	4437	4310	3935	38118	37133	39732	29925	23590	10028	11691	7781	5310	2168	5042	2275
9364	38060	42861	42248	44997	23811	11763	17303	6636	7119	4559	4362	3995	38204	37320	39759	30539	23965	10290	12088	7943	5396	2276	5146	2286
9424	37897	43154	42048	44668	24280	12016	17392	6736	7271	4595	4451	4027	38072	37616	39876	30905	24134	10444	12067	8098	5458	2236	5223	2311
9484	37774	42985	42036	44794	24649	12149	18028	6762	7409	4611	4509	4105	38081	37682	39731	31314	24874	10557	12293	8306	5559	2301	5253	2310
9544	37803	42958	42341	44876	25275	12499	18173	6820	7589	4679	4550	4122	37887	37957	39597	31706	25452	10910	12551	8374	5601	2291	5289	2349
9604	37871	42949	42040	44721	25639	12665	18484	7015	7799	4894	4679	4206	37960	37916	40072	32093	25733	10966	12664	8575	5726	2332	5436	2371
9664	38037	43023	42220	44925	26249	12852	18763	7008	7755	4947	4706	4260	37835	38106	39812	32536	25982	11082	12848	8613	5786	2404	5536	2401
9724	38029	43059	42255	44913	26612	13198	19300	7302	7907	5058	4832	4337	38057	38165	39882	32757	26517	11305	13062	8703	5944	2397	5552	2427
9784	38036	43067	42332	44631	26810	13463	19475	7359	8126	5069	4939	4354	37994	38123	40015	33323	26806	11564	13237	8942	6031	2478	5668	2419
9844	38058	42953	42319	45012	27267	13618	19735	7343	8171	5208	4942	4504	38064	38259	39520	33606	27018	11738	13437	8993	6157	2464	5837	2513
