	J10	J11	J12	J13	K10	K11	K12	K13	L10	L11	L12	L13	M10	M11	M12	M13	N10	N11	N12	N13	O10	O11	O12	O13
25324	37797	43767	41983	44957	45428	44588	43380	27727	33533	23878	18535	16143	37996	39030	39675	42453	38124	42155	43423	39444	29803	10068	23872	9646
25384	37904	43474	42016	45064	45006	44533	43151	27781	33393	23943	18398	16453	37856	38935	39775	42508	38220	41726	43425	39696	29833	10182	24040	9727
25444	38069	43474	41858	45038	45192	44626	43277	27850	33701	24061	18789	16339	38152	38809	39905	42496	38137	42254	43321	39741	29978	10265	24161	9698
25504	37880	43704	41848	45211	45259	44805	43020	27744	33444	23806	18699	16287	37838	38744	40031	42520	38105	41764	43511	39827	29988	10128	24071	9657
25564	38085	43390	41906	45123	44994	44357	43346	27725	33666	24195	18577	16200	37868	38857	39897	42777	38157	41991	43351	40004	30097	10319	24196	9790
25624	37919	43782	42018	45272	45050	44680	43302	27849	33652	24140	18594	16289	37875	39110	39850	42339	38203	41978	43519	39831	30256	10285	24244	9850
25684	37957	43206	41710	45121	45128	44696	42993	27616	33736	24251	18526	16341	37913	39030	39793	42713	38222	41992	43269	39741	30341	10245	24197	9722
25744	38017	43737	41889	45036	45393	44537	43266	27614	33854	24215	18350	16288	38229	38874	39778	42407	38274	42266	43464	40306	30538	10266	24233	9779
25804	37946	43647	41801	45182	45279	44499	43417	28038	33460	24109	18517	16497	38152	38974	39850	42582	38348	41836	43665	40525	30541	10392	24414	9902
25864	37923	43560	42251	44988	45039	44556	43323	27856	33439	24061	18720	16421	37691	38842	39762	42816	38207	42006	43602	40363	30526	10408	24485	9928
25924	38077	43649	41879	45104	45145	44581	43445	27837	33533	24147	18550	16294	38407	38913	39683	42649	38238	42095	43345	40364	30776	10469	24503	9826
25984	37996	43669	42089	45204	44846	44740	42994	27847	33505	24087	18628	16295	37937	38884	39831	42644	38469	41880	43600	40454	30869	10477	24585	9908
26044	38109	43500	41931	45107	45335	44400	43262	27758	33633	24062	18596	16281	38042	38858	39803	42353	38107	42170	43632	40815	30969	10574	24725	10036
26104	37847	43720	41991	45217	45271	44441	43588	27936	33709	24279	18683	16359	37851	38757	39919	42804	38321	42301	43615	40711	30893	10565	24704	10107
26164	37967	43561	42079	45350	44949	44565	43497	27807	33545	24111	18674	16440	38222	38797	39894	42464	38454	42139	43611	40944	31167	10629	24750	10132
26224	38092	43549	41980	44918	45376	44585	43425	27790	33948	24243	18686	16389	38144	38837	39528	42402	38093	41977	43472	40925	31204	10521	24721	9995
26284	38033	43648	42060	44900	45100	44238	43240	27884	33707	24123	18511	16383	38279	38959	39978	42381	38337	42314	43478	40931	31278	10555	24787	10027
26344	37893	43497	41987	45372	45118	44528	43272	27807	33560	24290	18663	16392	37850	39086	39830	42695	38083	42105	43701	40997	31062	10586	24926	10001
26404	38014	43692	41959	45179	45187	44677	43337	27889	33594	24314	18629	16431	38004	38898	39854	42525	38236	41826	43492	41124	31174	10542	24993	10134
26464	37987	43518	42111	44966	44821	44499	43430	27845	33588	24390	18634	16332	38142	38940	39885	42666	38233	42037	43514	41135	31486	10691	25196	10181
26524	38023	43504	42018	45107	45036	44528	43358	27924	33802	24408	18721	16355	38094	38780	40037	42807	38245	42010	43789	41314	31592	10806	24999	10125
26584	37711	43685	41873	45109	45073	44712	43435	27920	34009	24273	18852	16421	37931	39113	39923	42741	38324	42116	43907	41475	31599	10799	25217	10131
26644	38021	43697	41738	44826	45022	44574	43247	27849	33892	24219	18661	16389	37902	39114	39889	42411	37905	42016	43597	41359	31792	10842	25203	10136
26704	37734	43440	42115	45128	45333	44464	43417	27930	33924	24345	18673	16495	37995	38760	39810	42676	38186	42039	43760	41592	31626	10724	25145	10298
26764	38145	43661	41751	45092	45083	44410	43256	27965	33791	24352	18599	16454	38056	38893	39879	42479	38185	41988	43566	41709	31902	10734	25420	10283
26824	37839	43404	41993	44979	45056	44283	43358	27890	33800	24123	18699	16546	37795	39177	39872	42999	38183	41987	43696	41686	31957	10776	25354	10293
26884	38228	43655	41952	45174	45063	44421	43405	27886	33587	24300	18725	16447	37894	38772	39948	42744	38098	42200	43642	41865	32134	10787	25441	10392
26944	37715	43748	42104	45098	45129	44511	43242	27927	33810	24272	18655	16420	38044	39088	40079	42432	38215	42125	43696	41688	32186	10803	25547	10431
27004	37837	43408	42024	44857	45144	44450	43334	27969	33621	24319	18772	16435	37746	38859	39711	42770	38323	42028	43531	41803	31976	10982	25486	10441
27064	37786	43653	42095	45191	45311	44431	43240	27927	33736	24433	18810	16492	38085	38946	39869	42706	38373	41709	43661	41798	32392	10980	25571	10461
27124	37933	43626	41971	45165	45054	44461	43052	27843	33866	24457	18798	16504	38135	39128	39830	42523	38001	42087	43669	41914	32250	10902	25649	10446
27184	38008	43739	42015	45112	45321	44351	43051	27746	33951	24483	18817	16419	37909	38994	39865	42570	38571	42118	43657	41966	32215	11038	25624	10511
27244	38018	43611	41930	45089	45106	44617	43130	27773	33894	24444	18815	16450	38017	38703	39864	42341	38422	42136	43570	42005	32579	10975	25855	10468
27304	38082	43701	41694	45141	44876	44539	43567	27879	33878	24423	18812	16534	38230	39129	39852	42657	38151	41884	43760	41801	32629	11001	25804	10569
27364	38025	43449	41949	45352	45270	44279	43107	27763	33775	24364	18659	16529	38024	38837	39808	42668	38275	41823	43587	42082	32724	11052	26008	10559
27424	37887	43506	41937	44995	45167	44661	43281	27907	33843	24550	18603	16490	38005	39059	39882	42591	38253	42040	43540	42243	32807	11177	25845	10659
27484	37982	43794	41877	45236	45317	44535	43400	28140	33894	24438	18833	16344	38107	38784	39789	42733	38537	42080	43835	42140	32855	11077	26300	10581
27544	38026	43493	41953	45068	45205	44532	43356	27922	33830	24407	18726	16400	38290	39310	40049	42749	38216	42026	43398	42506	32640	11185	26068	10643
27604	37957	43734	41897	45242	45101	44635	43556	27884	33805	24644	18779	16400	37746	39114	39788	42799	38141	42129	43469	42362	32793	11246	26031	10544
27664	37901	43406	42056	45113	44688	44678	43434	27854	34015	24609	18809	16510	38253	38615	39900	42600	38327	42047	43595	42489	33155	11177	26252	10551
27724	37873	43624	41818	44992	44970	44577	43223	27821	33710	24437	18841	16515	37871	39143	39784	42690	38085	42080	43937	42489	33037	11240	26264	10694
27784	37797	43603	41971	45204	45188	44489	43154	27987	33903	24536	18623	16532	37945	38966	39925	42590	38553	42110	43496	42646	33265	11387	26230	10766
27844	37826	43718	42209	45007	45046	44641	43456	27993	33901	24705	18894	16582	37956	39211	39842	42555	38374	42076	43761	42842	33324	11280	26336	10759
27904	37838	43646	42011	45016	44950	44123	43051	27943	33962	24565	18829	16385	37864	38915	39819	42780	38171	41895	43758	42613	33183	11290	26594	10697
27964	38070	43659	41622	45002	45334	44423	43221	27951	33991	24504	18822	16577	37861	39025	39686	42447	38032	42109	43600	42707	33554	11376	26245	10736
28024	37867	43754	42042	45079	45032	44584	43289	27850	33897	24568	18834	16584	38240	38889	39804	42489	38252	41769	43583	42854	33402	11408	26351	10770
28084	37817	43702	42008	45449	45102	44277	43491	28099	33808	24617	18893	16431	37942	38898	39792	42620	38111	41822	43479	42757	33456	11379	26532	10849
28144	38070	43762	41651	45266	45258	44584	43103	27886	33865	24536	18736	16617	37995	39313	39890	42478	38493	42396	43371	42840	33690	11413	26486	10884
28204	37993	43498	42086	44999	45317	44645	43278	28005	33917	24644	18872	16542	38064	38810	39901	42688	38140	42050	43608	43060	33965	11483	26679	10834
28264	38139	43578	41882	45441	45225	44404	43299	28218	33916	24521	18751	16546	38155	38797	39788	42636	38118	42235	43766	43088	33647	11593	26705	10972
28324	38017	43426	41932	45328	45516	44503	43219	28088	33850	24493	18801	16564	37993	38959	39626	42982	38333	42173	43779	43267	33962	11530	26776	10910
28384	37985	43697	41779	45020	45076	44441	43191	27842	34164	24583	18889	16531	38212	39233	39856	42529	38352	42190	43634	43336	33798	11620	26722	10979
28444	37917	43428	41859	45562	45044	44658	43444	28160	33889	24622	18774	16538	38039	38980	39855	42479	38100	42031	43769	43108	33907	11555	26617	11041
28504	38144	43547	41845	44904	45350	44411	43344	28120	33749	24846	18721	16539	38089	38867	39941	42702	38359	42208	43626	43198	34055	11599	27101	10995
28564	37833	43533	42024	45303	45253	44597	43371	28208	33990	24428	18785	16714	37941	38916	39889	42522	38277	41936	43810	43255	34189	11591	26934	11093
28624	37998	43431	42177	45268	45175	44453	43258	28053	33951	24544	18771	16524	37955	38866	39770	42865	38289	42220	43598	43168	34365	11731	27083	11030
28684	37913	43662	41697	45150	45240	44691	43466	28140	33779	24572	18899	16648	37791	39197	39830	42546	38206	41907	43574	43049	34404	11705	26963	11127
28744	37953	43949	41919	45171	45127	44603	43382	27863	33854	24694	18905	16575	38090	39159	39807	42541	38385	42241	43738	43368	34569	11773	27043	11111
28804	38012	43649	42095	45096	45306	44505	43470	28161	33948	24548	18935	16685	38209	38988	39971	42500	38249	42051	43628	43226	34505	11697	27148	11204
28864	37791	43585	41984	45197	45148	44259	43478	28048	33826	24887	18939	16541	37800	38742	39726	42807	38305	42214	43561	43680	34459	11951	27260	11148
28924	37846	43496	42087	45225	45200	44465	43279	28044	33768	24470	18735	16561	38084	38688	39779	42478	38139	42037	43573	43631	34658	11793	27248	11240
28984	37812	43597	42166	44980	44832	44581	43260	28012	33789	24778	18934	16712	37761	38967	39788	42726	38299	42096	43812	43752	34526	11711	27140	11263
29044	38043	43301	41787	45278	45287	44293	43427	28095	33968	24973	18952	16698	37910	39330	39746	42498	38350	42249	43892	43555	34648	11813	27367	11198
29104	37991	43721	41665	45296	45338	44545	43174	28105	33920	24642	18963	16640	38191	38917	39824	42579	38099	41735	43773	43517	34899	11867	27343	11339
29164	37728	43505	41899	44986	45343	44771	43126	27930	34022	24611	18907	16357	38068	38774	39941	42520	38378	42025	43833	43595	35095	11889	27553	11222
29224	37833	43710	42008	45197	44870	44538	43211	28095	34067	24721	18789	16537	37993	38939	39943	42777	38177	41943	43723	43673	35198	11829	27587	11343
29284	37827	43379	41609	45009	44988	44523	43060	28080	33960	24556	18818	16635	38071	39027	39805	42458	38167	42247	43686	43704	35008	11912	27548	11356
29344	37972	43575	41739	45029	45086	44694	43508	28003	33712	24672	18907	16586	38335	38942	39536	42449	38321	42199	43862	43767	34887	11957	27668	11220
29404	37935	43760	42230	45028	45077	44508	43020	28055	33841	24580	18733	16487	37983	38852	39620	42572	38248	42127	43514	43749	35171	11968	27575	11405
29464	38054	43561	42102	45284	45268	44262	43222	27928	34287	24826	18814	16638	37852	38822	39615	42719	38244	42219	43847	43925	35119	12030	27524	11389
29524	38063	43647	41999	45262	45034	44285	43281	28172	34053	24624	18814	16586	38247	38963	39828	42809	38051	41979	43961	43897	35327	12044	27607	11480
29584	37957	43606	41893	45074	45089	44348	43215	28103	33844	24778	18981	16595	37967	39077	40017	42463	38217	42076	43664	43967	35380	12173	27576	11363
29644	38048	43722	42080	45298	44991	44540	43078	28101	34109	24964	18918	16677	37820	39000	39869	42566	38283	42288	43653	44193	35169	12077	28015	11549
29704	37959	43564	42156	45163	45378	44685	43296	28248	34112	24844	18911	16647	37855	38798	39894	42494	38258	41846	43788	44101	35470	12094	27996	11635
29764	37745	43758	42068	45131	45213	44591	43243	28108	34161	24747	18940	16493	38144	39005	39630	42650	38451	41971	43629	44078	35755	12161	27921	11567
29824	38070	43386	41921	44967	44906	44551	43242	28086	33981	24797	18962	16646	38129	39113	39971	42771	38376	42280	43656	44274	35691	12263	28096	11653
29884	38027	43453	41913	44971	45213	44461	43404	28099	33928	24856	18890	16555	38108	38790	39909	42651	38205	42091	43806	43943	35702	12324	28138	11547
29944	37872	43656	42022	44887	45128	44705	43350	28205	33925	24900	18779	16618	38257	38890	39811	42597	38259	42259	43467	44415	36002	12132	27988	11590
30004	37884	43557	41872	45228	45021	44551	43248	28003	34260	24842	18888	16526	37875	38806	39928	42401	38418	42041	43519	44555	35804	12425	28087	11535
30064	37802	43497	42088	45284	45057	44426	43165	28307	33841	24776	18876	16552	37995	39090	39934	42953	38552	42138	43293	44254	35841	12333	28366	11685
30124	38043	43582	41995	45110	44979	44678	43413	28341	33988	24853	18869	16498	37748	38884	39855	42581	38403	42196	43668	44051	35969	12469	28370	11759
30184	37842	43649	42042	45277	45102	44567	43349	28207	34008	24842	18833	16667	37982	38964	39882	42655	38338	42113	43605	44005	36148	12502	28082	11663
30244	37697	43602	42005	45308	45339	44859	43578	28051	33908	24799	18914	16612	38060	38786	40015	42939	38442	42148	43972	44415	35997	12523	28371	11815
30304	38180	43720	41906	45300	44879	44601	43332	28132	33982	24867	18944	16690	37982	39055	39671	42646	38182	42156	43698	44330	36167	12472	28246	11752
30364	38013	43489	41901	44786	45168	44579	43367	28274	34114	24898	18929	16788	38097	38767	39709	42626	38401	42064	43610	44649	36341	12378	28386	11768
30424	37861	43533	41982	45269	44974	44430	43179	28232	34285	24896	18908	16703	38054	39077	39956	42661	38337	42251	43707	44504	36605	12444	28318	11889
30484	37762	43506	42141	45312	45158	44470	43204	28130	33880	24867	18809	16726	38154	39044	39990	42866	38258	42257	43453	44441	36466	12564	28535	11924
30544	37860	43600	42203	45009	45124	44470	43148	28151	33903	24715	18852	16684	37889	38863	40096	42669	38353	42089	43804	44337	36803	12508	28343	11885
30604	37550	43643	41857	45112	45197	44488	43233	28170	34060	24886	18709	16674	37791	38980	39746	42697	38293	42108	43716	44626	36600	12615	28851	11914
30664	38015	43541	42013	45096	44963	44602	43193	28314	34258	24942	18852	16601	37969	39267	39919	42627	38477	42114	43762	44431	36799	12601	28833	11879
30724	37993	43574	41808	45070	45064	44485	43306	28192	34063	24731	18901	16616	37922	39069	39780	42592	38412	42073	43700	44353	36829	12712	28492	12039
30784	38069	43488	42071	45220	45216	44553	43662	28029	34010	24858	18895	16697	38292	38930	39902	42675	38446	42224	43636	44262	36704	12733	28975	11901
30844	37883	43715	42027	45351	45060	44397	43487	28241	33919	24820	19013	16689	37880	38956	39742	43002	38144	42058	43423	44403	36907	12584	29008	12089
30904	37952	43540	41824	45144	45169	44610	43188	28164	34053	24871	18893	16619	37913	38998	39909	42548	38161	42136	43585	44419	37002	12624	28992	12070
30964	38156	43654	42163	45215	45088	44477	43543	28282	34119	25080	18892	16653	38082	38869	39723	42421	38416	42266	43793	44611	36970	12724	28760	12118
31798	48486	53765	53436	55104	54305	54105	55472	51115	51222	49676	49380	48007	47934	47480	51086	54141	48643	53391	55439	55859	51324	40774	48601	39432
31858	48311	53523	52823	54536	54234	53821	55452	51252	50948	49539	49676	48615	47744	46989	50399	54029	48246	52637	54445	55645	51488	42363	49074	41656
31918	47321	52831	52267	53859	53607	53350	54841	50811	50514	49449	49549	48510	47121	46330	49708	52906	47334	51840	53681	54340	50690	43000	49128	42911
31978	46720	52288	51567	53400	52990	52647	54491	50398	50128	49105	49442	48604	46551	45435	48849	51903	46665	51146	53206	53683	49932	43385	48919	43281
32038	45887	51789	50329	52580	52237	52386	53956	50164	49855	49002	48666	48237	45907	44874	48319	50843	45988	50798	52441	52924	49289	43192	48049	43474
32098	44945	50850	49855	51819	51656	51842	52895	49769	49379	48279	48331	47913	45189	43869	47347	50443	45117	49742	51545	52136	48505	42831	47939	43494
32158	44509	50191	48814	51360	51012	51024	52581	49203	48960	48099	48233	47711	44489	43390	46727	49871	44506	48953	50543	51217	47840	42740	47245	43286
32218	43884	49720	48075	50604	50481	50686	52236	48803	48302	47567	47746	47607	43891	42908	46471	49059	44019	48638	49858	50831	47440	42539	46972	43324
32278	43672	48999	47858	49887	49940	50157	51300	48438	47928	47342	47319	46795	43383	42196	45506	48609	43391	47451	49070	50074	46744	42399	46388	42723
32338	42890	48351	47214	49294	49741	49905	51038	47862	47406	47201	46698	46659	43143	41701	45029	47484	43076	47242	48723	49738	46856	41855	46213	43021
32398	42429	48119	46442	48429	49243	49161	50567	47288	46918	46390	46283	46111	42214	41383	44498	47013	42406	46761	48232	49236	46251	41594	45664	42754
32458	41986	47361	46212	48363	48923	48784	50432	47059	46462	46141	46461	45797	42163	41262	43849	46793	42087	46202	47738	48650	45788	41493	45044	42429
32518	41608	46925	45818	48000	48447	48489	49884	46870	46110	45645	45740	45801	41468	40408	43273	46060	41486	45845	46904	48000	45355	41129	44814	42169
32578	41221	46944	45193	48013	48013	47980	49580	46557	46373	45566	45819	45390	41016	40144	43002	45682	41289	45304	47078	47865	44855	40934	44392	41946
32638	40919	46425	44826	47417	47686	47825	48897	46316	45833	45136	44835	45040	40551	39863	42800	45424	40609	44492	46401	47493	44433	40523	44356	41741
32698	40399	46148	44801	46904	47304	47411	48518	45847	45652	44692	44967	44821	40453	39270	42348	45060	40760	44729	45782	46738	44194	40249	43713	41380
32758	40185	45799	44335	46653	46873	47054	48555	45381	45251	44550	44649	44419	39875	39337	41916	44610	40345	44124	45602	46654	44312	40351	44041	41155
32818	39780	45487	44028	46292	46758	46720	48182	45167	44846	44410	44496	44228	39781	38905	41495	44416	39980	43955	45506	46588	44295	40328	43460	41031
32878	39699	45356	43849	46106	46458	46671	47862	44859	44795	43900	44138	44200	39437	38973	41511	43963	39954	43928	44970	46275	43783	39949	43584	40998
32938	39501	44701	43366	46089	46326	46216	47582	45120	44304	43874	43987	43807	39185	38274	41034	43893	39729	43414	45062	45992	43890	39466	43030	40785
32998	39330	44676	43245	45613	45959	46153	47741	44640	44346	43598	43754	43824	39095	38196	40905	43667	39392	43154	44946	45735	43376	39835	42923	40527
33058	38884	44522	42751	45418	45618	46007	47070	44471	43904	43394	43450	43459	38807	37815	40909	43476	38943	43065	44179	45576	43196	39477	42788	40292
33118	38900	44569	42693	45346	45343	45996	47311	44300	43663	43577	43336	43169	38507	37773	40706	43168	38929	42571	44227	45235	42856	39287	43005	40299
33178	39016	44150	42564	45056	45106	45467	46667	44159	43505	42910	43402	43164	38297	37454	40167	43042	38731	42414	44160	45131	42996	39011	42340	40384
33238	38576	44022	42095	44925	45309	45637	46425	44036	43448	42889	43098	42915	38243	37735	40261	42776	38703	42412	44034	44748	42672	39350	42435	40232
33298	38360	43915	42653	44662	44993	45094	46452	43805	43714	42936	42710	42974	38152	37113	39898	42720	38480	42291	43916	44894	42490	39035	42377	40141
33358	38660	43817	42214	44747	44843	45038	46364	44224	43573	42670	42672	42826	37952	37182	40089	42683	38074	42305	43561	44675	42618	38867	42078	40155
33418	38247	43711	42009	44518	44868	45099	46404	43598	43287	42471	42467	42388	37906	36942	39800	42321	38115	42418	43123	44743	42177	39057	42135	39912
33478	38059	43509	41886	44411	44743	44894	46103	43566	42924	42218	42502	42503	37655	36797	39555	42405	38317	41966	43147	44530	42086	38789	41902	39836
33538	38004	43225	41767	44331	44545	45062	46183	43798	42811	42406	42402	42495	37660	36978	39588	42449	37825	41872	43373	44569	41886	38499	41806	39917
33598	38033	43187	41697	44507	44682	44714	45728	43261	42672	42146	42409	42604	37544	37006	39307	42196	37930	41693	43205	44507	42131	38732	42232	39608
33658	37771	43091	41628	44209	44131	44589	45686	43511	43010	42205	42289	42341	37475	36660	39326	42076	37587	41957	42954	44180	41805	38916	41558	39602
33718	38053	43188	41690	44186	44423	44449	45765	43362	42636	42087	42250	42147	37047	36699	39257	42086	37983	41785	42797	44072	41810	38722	41752	39476
33778	37750	43196	41411	43880	44080	44251	45988	43353	42515	41872	42129	42282	37259	36566	39209	42191	37796	41323	42764	43909	41890	38447	41708	39622
33838	37678	43117	41014	44185	44181	44431	45584	43498	42319	42162	41839	42161	36930	36360	39131	41794	37630	41259	42878	44117	41843	38686	41714	39668
33898	37409	43135	41426	43969	44194	44250	45772	43424	42409	41844	41705	42191	37074	36451	39014	42047	37666	41549	42856	43866	41793	38367	41582	39466
33958	37679	42898	41302	43936	43984	44395	45517	43159	42471	42187	41832	42322	37006	36461	39144	41720	37525	41390	42660	44036	41627	38688	41384	39591
34018	37423	43064	41213	44212	44192	44415	45372	43029	42585	41880	42016	42112	36904	36512	38734	41710	37672	41463	42856	43885	41552	38421	41582	39263
34078	37552	42776	41249	43862	44077	44003	45407	43050	42215	41538	41912	41675	36905	36294	38852	41397	37343	41140	42597	44016	41610	38220	41530	39435
34138	37409	42656	41225	43779	44048	44171	45567	42844	42574	41602	42139	42103	36966	36365	38730	41687	37358	41448	42649	43810	41691	38091	41264	39143
34198	37089	42501	41229	43683	44084	44205	45478	43176	42211	41779	42037	41857	36869	36415	38863	41495	37535	41408	42667	43848	41511	38320	41447	39231
34258	37095	42605	41193	43820	44040	44098	45296	43020	42418	41627	41954	41924	36804	36206	38514	41879	37061	41340	42374	43685	41587	38198	41409	39258
34318	37490	42731	40997	43562	43955	44194	45338	42969	42250	41594	41982	41746	36835	36025	38766	41403	37129	41008	42648	43637	41536	38048	41301	39263
34378	37416	42736	40841	43829	43701	44066	45440	42927	42199	41706	41770	41832	36888	35958	38592	41223	37291	40962	42396	43610	41492	38126	40979	39365
34438	37418	42685	40668	43721	43569	44210	45234	42771	42152	41491	41930	42102	36654	36179	38644	41555	37065	41266	42520	43758	41625	38097	41290	39242
34498	37070	42667	40870	43627	43680	44081	45055	42877	42164	41451	41691	41859	36719	36290	38526	41433	37216	41076	42564	43749	41477	38241	41218	39132
34558	37228	42429	40889	43663	43563	44225	45246	43043	42282	41460	41729	41958	36607	36005	38774	41319	37222	40719	42453	43870	41308	38233	41347	39354
34618	37059	42546	41004	43557	43271	43925	45601	42990	42240	41445	41808	41751	36675	35980	38383	41426	37392	40932	42227	43556	41806	37988	41011	39132
34678	37250	42467	40759	43732	43805	43916	45008	42714	42240	41410	41619	41724	36725	35938	38338	41562	37171	40816	42454	43499	41298	38047	41002	39096
34738	37152	42524	40900	43663	43739	43835	45457	42873	42374	41484	41817	41871	36873	36026	38405	41534	37126	41082	42213	43584	41570	38197	41342	39209
34798	37498	42491	40886	43796	43797	43937	45230	42748	42111	41656	41561	41783	36518	36170	38615	40986	36899	40898	42048	43457	41404	37868	41116	39105
34858	37148	42571	40808	43522	43546	43916	45284	42979	42187	41454	41588	41728	36497	36093	38684	41298	37166	40980	42290	43468	41527	37979	41280	39125
34918	37046	42319	40641	43689	43325	43906	45170	42910	41991	41397	41779	41564	36632	36140	38137	40960	36906	41143	42443	43645	41407	38015	41043	38754
34978	37072	42639	41002	43682	43484	43750	45394	42599	41807	41405	41663	41825	36787	36187	38268	41245	37319	40920	42283	43665	41209	38057	41074	39093
35038	37063	42592	40646	43447	43572	44013	45083	42871	42079	41708	41593	41717	36652	36129	38152	41013	37083	40781	42080	43453	40970	38098	41133	38936
35098	37181	42189	40750	43459	43468	43511	45140	42862	41997	41742	41708	41828	36504	36275	38540	41119	37080	40563	42156	43416	41167	37778	40887	39014
35158	37269	42331	40576	43717	43711	43769	45080	42771	41899	41265	41493	41749	36544	35985	38396	41171	37283	40433	42273	43133	41569	38177	40869	39000
35218	37050	42250	40618	43544	43643	43753	44946	42698	42172	41336	41519	41826	36643	36239	38204	41268	37316	40770	41968	43452	41437	38007	41323	38967
35278	37185	42261	40846	43731	43424	43908	45350	42830	42113	41463	41691	41639	36442	35936	38375	41058	37047	40693	42567	43438	41515	38230	41022	39259
35338	37225	42483	40576	43696	43434	43914	45189	42693	41933	41471	41699	41934	36600	36128	38405	41257	37097	40944	42137	43403	41318	37992	41077	38866
35398	37284	42451	40515	43678	43594	43726	45091	42949	41762	41325	41469	41850	36381	36106	38526	41128	37110	40662	42007	43459	41337	37944	40783	38988
35458	37029	42456	40773	43316	43436	43871	44824	42640	41904	41388	41386	41883	36426	35945	38179	41284	37072	40518	42219	43105	41502	38031	40926	39211
35518	36905	42362	40863	43432	43555	43947	45037	42929	41738	41273	41559	41497	36410	36069	38396	41078	37022	40653	42137	43608	41320	38242	41137	39186
35578	36925	42363	40847	43354	43413	43993	45004	42600	42008	41396	41757	41444	36472	35753	38003	41352	36930	40629	42066	43180	41476	38087	41156	39106
35638	37104	42417	40550	43410	43560	43771	45269	42776	41878	41515	41596	41874	36389	36033	38426	41084	36942	40577	42227	43410	41244	37892	41270	39320
35698	36709	42163	40774	43552	43464	43702	45040	42795	41874	41553	41352	41574	36461	35886	38502	40893	37017	40821	41833	42987	41128	37784	41118	39287
35758	36933	42368	40658	43270	43618	43995	45249	42857	42166	41249	41591	41730	36392	36085	38436	41171	36987	40818	42313	43441	41164	38146	41083	39073
35818	36800	42355	40559	43468	43407	43803	45144	42891	41959	41188	41647	41570	36561	36086	38170	41201	37123	40701	42089	43325	41208	37935	41038	38858
35878	37030	42406	40395	43372	43354	43972	44850	42938	41894	41374	41557	41690	36679	36090	38502	41282	36963	40867	42047	43428	41123	37957	41068	39023
35938	37018	42253	40682	43364	43507	43753	45112	42896	41994	41505	41806	41862	36567	35911	38325	41218	36850	40689	42075	43718	41139	37934	40979	39107
35998	36777	42449	40561	43561	43392	43701	44739	42584	41861	41122	41617	41743	36400	36235	38307	41445	36975	40736	42139	43439	41263	38013	41172	38988
36058	36909	42319	40596	43348	43274	43777	45345	42574	41835	41360	41565	41717	36230	35974	38610	41073	36815	40758	42204	43717	41264	37898	40933	39069
36118	37095	42386	40567	43414	43329	43851	45172	42540	41701	41510	41689	41544	36646	35823	38322	41056	36796	41018	42193	43457	41523	37759	41077	38826
36178	36905	41890	40384	43501	43321	43741	45138	42916	41837	41114	41534	41851	36392	35804	38374	41099	36789	40591	42076	43494	41398	37663	40998	39041
36238	36810	42244	40636	43559	43555	43771	45111	42687	42199	41586	41451	41626	36499	35944	38392	41217	37084	40872	42316	43316	41384	37782	41018	39223
36298	36721	42211	40609	43554	43449	43877	45255	42755	41897	41452	41764	41894	36347	35981	38119	41062	36904	40671	42087	43404	41369	37877	40950	39048
36358	37140	42377	40593	43608	43319	44008	44925	43032	42244	41483	41686	41885	36295	36188	38331	41118	36850	41049	42187	43270	41333	37965	40986	38994
36418	36896	42339	40281	43385	43169	43866	44941	42570	41852	41547	41402	41768	36254	36282	38105	40994	37067	40721	42115	43326	41098	37999	41156	39181
36478	36746	42310	40558	43225	43562	43776	45010	42754	41873	41206	41388	41746	36361	36009	38191	41032	36713	40753	42332	43266	41271	37575	41150	39094
36538	36711	42055	40356	43468	43438	43806	45297	42949	42019	41564	41629	41987	36443	36004	38274	40953	36991	40939	42110	43514	41545	37891	40855	39062
36598	36910	42359	40427	43524	43462	43698	45174	42828	42112	41443	41771	41866	36438	36111	38336	41035	36839	40647	42291	43414	41060	38049	40817	39048
36658	36914	42379	40514	43236	43429	44025	45240	42834	42094	41360	41450	41622	36422	35996	38215	41208	37029	40881	42102	43530	41289	38031	40950	39259
36718	37151	42401	40432	43348	43567	43991	45108	42743	42134	41620	41769	41775	36409	36083	38333	40882	37113	40804	42451	43313	41425	37976	41095	39226
36778	37226	42324	40607	43550	43514	43796	45122	42726	42039	41170	41613	41547	36404	36013	38471	41032	36857	40802	42117	43503	41389	37821	41093	38887
36838	36838	42464	40624	43858	43639	43740	44947	42645	42052	41415	41727	41441	36238	36026	38318	40964	36838	40546	42075	43522	41259	37813	41050	39228
0																								
0																								
0																								

